TELESCOPE INSTRUMENT GRISM DETECTOR FILTER ORDER WMIN WMAX
HST ACS G800L CHIP1 "" A 0.5 1.05
HST ACS G800L CHIP1 "" B 0.4 1.1
HST ACS G800L CHIP1 "" C 0.545 0.8
HST ACS G800L CHIP1 "" D 0.545 1.0
HST ACS G800L CHIP1 "" E 0.545 1.05
HST ACS G800L CHIP1 "" F 0.545 0.8
HST ACS G800L CHIP1 "" G 0.545 1.05
HST ACS G800L CHIP2 "" A 0.5 1.05
HST ACS G800L CHIP2 "" B 0.4 1.1
HST ACS G800L CHIP2 "" C 0.545 0.8
HST ACS G800L CHIP2 "" D 0.545 1.0
HST ACS G800L CHIP2 "" E 0.545 1.05
HST ACS G800L CHIP2 "" F 0.545 0.8
HST ACS G800L CHIP2 "" G 0.545 1.05
HST WFC3 G102 IR "" +1 0.7496 1.1979
HST WFC3 G102 IR "" 0 0.7401 1.2297
HST WFC3 G102 IR "" +2 0.7401 1.1897
HST WFC3 G102 IR "" +3 0.7571 0.9878
HST WFC3 G102 IR "" -1 0.7488958984375 1.1496958984375
HST WFC3 G141 IR "" +1 0.9953 1.7697
HST WFC3 G141 IR "" 0 1.0402 1.6998
HST WFC3 G141 IR "" +2 0.9702 1.5903
HST WFC3 G141 IR "" +3 1.0068 1.3875
HST WFC3 G141 IR "" -1 1.031 1.7845
HST WFC3 G141 IR "" +4 1.031 1.7845
HST WFC3 G280 UVIS1 "" +1 0.16 0.7975
HST WFC3 G280 UVIS1 "" +2 0.16 0.3975
HST WFC3 G280 UVIS1 "" +3 0.1625 0.3075
HST WFC3 G280 UVIS1 "" +4 0.1725 0.2375
HST WFC3 G280 UVIS1 "" -1 0.1675 0.7975
HST WFC3 G280 UVIS1 "" -2 0.1675 0.3775
HST WFC3 G280 UVIS1 "" -3 0.175 0.2975
HST WFC3 G280 UVIS1 "" -4 0.1925 0.2375
HST WFC3 G280 UVIS2 "" +1 0.1625 0.7875
HST WFC3 G280 UVIS2 "" +2 0.165 0.3975
HST WFC3 G280 UVIS2 "" +3 0.1675 0.3075
HST WFC3 G280 UVIS2 "" +4 0.1875 0.2275
HST WFC3 G280 UVIS2 "" -1 0.1725 0.7875
HST WFC3 G280 UVIS2 "" -2 0.1675 0.3775
HST WFC3 G280 UVIS2 "" -3 0.1725 0.3075
HST WFC3 G280 UVIS2 "" -4 0.1925 0.2275
JWST NIRCAM C modB F460M +1 4.461000000000005 4.818500000000005
JWST NIRCAM C modB F460M +2 4.521000000000004 4.758500000000004
JWST NIRCAM R modA F410M +1 3.751000000000003 4.429000000000003
JWST NIRCAM R modA F410M +2 4.201000000000004 4.278500000000004
JWST NIRCAM R modA F356W +1 3.0510000000000024 4.109000000000002
JWST NIRCAM R modA F356W +2 3.101000000000002 3.599000000000002
JWST NIRCAM R modA F444W +1 3.771000000000003 5.139000000000003
JWST NIRCAM R modA F444W +2 4.201000000000004 5.049000000000004
JWST NIRCAM C modB F335M +1 3.1110000000000024 3.6690000000000027
JWST NIRCAM C modB F335M +2 3.1510000000000025 3.519000000000003
JWST NIRCAM C modB F360M +1 3.311000000000003 3.918500000000003
